slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
mcp-use-mcp-use,claudemarketplaces,plugins,L1,0.7613,0.0001,0.0001,0.0001,0.0015,8192,False
redpanda-data-connect,claudemarketplaces,plugins,L1,0.8957,0.0002,0.0001,0.0006,0.0133,8192,False
insforge-insforge,claudemarketplaces,plugins,L1,0.9431,0.0002,0.0002,0.0005,0.0305,8192,False
ykdojo-claude-code-tips,claudemarketplaces,plugins,L1,0.9505,0.0006,0.0038,0.0027,0.0025,8192,False
microsoft-playwright-cli,claudemarketplaces,plugins,L2,0.9957,0.0037,0.0052,0.0114,0.6495,8192,False
orchestra-research-ai-research-skills,claudemarketplaces,plugins,L1,0.9950,0.0002,0.0004,0.0001,0.0573,8192,False
brainblend-ai-atomic-agents,claudemarketplaces,plugins,L0,0.9391,0.0002,0.0003,0.0002,0.0009,8192,False
sawyerhood-dev-browser,claudemarketplaces,plugins,L1,0.7249,0.0002,0.0006,0.0069,0.2633,5904,False
dammyjay93-interface-design,claudemarketplaces,plugins,L1,0.9984,0.0007,0.0018,0.0002,0.0088,6799,False
firebase-firebase-tools,claudemarketplaces,plugins,L2,0.6130,0.0009,0.0126,0.0081,0.0173,8192,False
trailofbits-skills,claudemarketplaces,plugins,L1,0.9984,0.0004,0.0012,0.0002,0.0155,7877,False
max-sixty-worktrunk,claudemarketplaces,plugins,L1,0.9893,0.0002,0.0005,0.0012,0.0176,8192,False
exa-labs-exa-mcp-server,claudemarketplaces,plugins,L1,0.8642,0.0002,0.0006,0.0031,0.8539,8192,False
czlonkowski-n8n-skills,claudemarketplaces,plugins,L1,0.9731,0.0002,0.0003,0.0001,0.0041,8192,False
pimzino-spec-workflow-mcp,claudemarketplaces,plugins,L1,0.9963,0.0009,0.0002,0.0002,0.0127,8192,False
mixedbread-ai-mgrep,claudemarketplaces,plugins,L2,0.9671,0.0007,0.0013,0.0029,0.5397,8192,False
langroid-langroid,claudemarketplaces,plugins,L1,0.9980,0.0002,0.0001,0.0001,0.0176,8192,False
backnotprop-plannotator,claudemarketplaces,plugins,L3,0.8719,0.0038,0.8035,0.0025,0.7990,7944,False
mckinsey-vizro,claudemarketplaces,plugins,L0,0.9978,0.0007,0.0007,0.0009,0.0006,8192,False
davepoon-buildwithclaude,claudemarketplaces,plugins,L1,0.9973,0.0003,0.0002,0.0004,0.4008,6806,False
letta-ai-claude-subconscious,claudemarketplaces,plugins,L1,0.6471,0.0014,0.0005,0.0062,0.0063,8192,False
stellarlinkco-myclaude,claudemarketplaces,plugins,L2,0.9965,0.0018,0.0116,0.0224,0.8604,6048,False
zeframlou-call-me,claudemarketplaces,plugins,L1,0.9967,0.0007,0.0015,0.0012,0.0154,8192,False
avdlee-swiftui-agent-skill,claudemarketplaces,plugins,L0,0.9909,0.0005,0.0004,0.0004,0.0015,8192,False
nyldn-claude-octopus,claudemarketplaces,plugins,L1,0.9676,0.0004,0.0004,0.0007,0.0856,8192,False
jasonxudeveloper-jengine,claudemarketplaces,plugins,L1,0.9675,0.0024,0.0004,0.0014,0.0385,6126,False
wirasm-prps-agentic-eng,claudemarketplaces,plugins,L1,0.9936,0.0005,0.0003,0.0007,0.0037,8192,False
perplexityai-modelcontextprotocol,claudemarketplaces,plugins,L1,0.9957,0.0006,0.0001,0.0012,0.9527,8192,False
modelcontextprotocol-ext-apps,claudemarketplaces,plugins,L1,0.9345,0.0001,0.0000,0.0005,0.0017,8192,False
asheshgoplani-agent-deck,claudemarketplaces,plugins,L1,0.9784,0.0001,0.0002,0.0008,0.0077,8192,False
apify-agent-skills,claudemarketplaces,plugins,L1,0.9987,0.0001,0.0004,0.0010,0.0555,2796,False
supabase-agent-skills,claudemarketplaces,plugins,L1,0.9801,0.0001,0.0003,0.0002,0.0019,3284,False
glittercowboy-taches-cc-resources,claudemarketplaces,plugins,L1,0.9936,0.0001,0.0003,0.0008,0.0012,8192,False
pchalasani-claude-code-tools,claudemarketplaces,plugins,L1,0.9893,0.0002,0.0002,0.0002,0.0154,5247,False
timescale-pg-aiguide,claudemarketplaces,plugins,L1,0.9958,0.0005,0.0002,0.0008,0.4150,8192,False
expo-skills,claudemarketplaces,plugins,L0,0.9911,0.0002,0.0004,0.0004,0.0021,1790,False
rohitg00-pro-workflow,claudemarketplaces,plugins,L1,0.9992,0.0010,0.0005,0.0004,0.0023,8192,False
microsoftdocs-mcp,claudemarketplaces,plugins,L0,0.5386,0.0004,0.0006,0.0006,0.6636,8192,False
appleboy-codegpt,claudemarketplaces,plugins,L1,0.9929,0.0002,0.0004,0.0008,0.0244,8192,False
antonbabenko-terraform-skill,claudemarketplaces,plugins,L1,0.9751,0.0004,0.0007,0.0004,0.0020,6939,False
actionbook-actionbook,claudemarketplaces,plugins,L2,0.9975,0.0022,0.0053,0.0171,0.9683,6518,False
dvdsgl-claude-canvas,claudemarketplaces,plugins,L1,0.9940,0.0001,0.0001,0.0008,0.0188,666,False
redplanethq-core,claudemarketplaces,plugins,L1,0.9971,0.0004,0.0003,0.0002,0.0111,8192,False
feiskyer-claude-code-settings,claudemarketplaces,plugins,L2,0.9817,0.0010,0.0025,0.0091,0.4715,8192,False
k-dense-ai-claude-scientific-writer,claudemarketplaces,plugins,L1,0.9989,0.0004,0.0002,0.0006,0.2256,8192,False
softaworks-agent-toolkit,claudemarketplaces,plugins,L1,0.9962,0.0002,0.0009,0.0002,0.0178,8192,False
avdlee-swift-concurrency-agent-skill,claudemarketplaces,plugins,L1,0.9806,0.0002,0.0007,0.0003,0.0081,8192,False
cloudai-x-claude-workflow-v2,claudemarketplaces,plugins,L1,0.9871,0.0001,0.0003,0.0011,0.0085,8192,False
kenryu42-claude-code-safety-net,claudemarketplaces,plugins,L0,0.9910,0.0044,0.0030,0.0010,0.0045,8192,False
composiohq-awesome-claude-plugins,claudemarketplaces,plugins,L1,0.9971,0.0002,0.0004,0.0017,0.0172,8192,False
raine-workmux,claudemarketplaces,plugins,L1,0.9675,0.0003,0.0016,0.0027,0.0140,8192,False
udecode-dotai,claudemarketplaces,plugins,L2,0.9834,0.0014,0.0029,0.0060,0.8125,5524,False
geekjourneyx-md2wechat-skill,claudemarketplaces,plugins,L1,0.9963,0.0002,0.0004,0.0010,0.1156,8192,False
ryandonofrio3-osgrep,claudemarketplaces,plugins,L1,0.9938,0.0002,0.0001,0.0006,0.0400,8192,False
skills-directory-skill-codex,claudemarketplaces,plugins,L2,0.9510,0.0004,0.0097,0.0047,0.1213,2934,False
itsmostafa-aws-agent-skills,claudemarketplaces,plugins,L0,0.9980,0.0014,0.0007,0.0024,0.0008,4728,False
openprose-prose,claudemarketplaces,plugins,L1,0.9963,0.0002,0.0004,0.0006,0.0031,8192,False
actionbook-rust-skills,claudemarketplaces,plugins,L1,0.9974,0.0001,0.0003,0.0004,0.7199,8192,False
mbailey-voicemode,claudemarketplaces,plugins,L1,0.9970,0.0005,0.0004,0.0005,0.0102,6093,False
numman-ali-n-skills,claudemarketplaces,plugins,L1,0.9987,0.0002,0.0008,0.0001,0.0821,8192,False
classmethod-tsumiki,claudemarketplaces,plugins,L1,0.9960,0.0006,0.0007,0.0010,0.0600,5123,False
jarrodwatts-claude-delegator,claudemarketplaces,plugins,L1,0.9906,0.0005,0.0004,0.0008,0.0209,7530,False
umputun-ralphex,claudemarketplaces,plugins,L2,0.9897,0.0049,0.0330,0.0253,0.1361,8192,False
saik0s-mcp-browser-use,claudemarketplaces,plugins,L2,0.9934,0.0017,0.0016,0.0293,0.8241,8192,False
bayramannakov-claude-reflect,claudemarketplaces,plugins,L1,0.9837,0.0004,0.0001,0.0009,0.0031,8192,False
daymade-claude-code-skills,claudemarketplaces,plugins,L2,0.9253,0.0029,0.2828,0.0021,0.8658,8192,False
neolabhq-context-engineering-kit,claudemarketplaces,plugins,L1,0.9984,0.0012,0.0005,0.0001,0.0160,8192,False
charleswiltgen-axiom,claudemarketplaces,plugins,L1,0.9966,0.0002,0.0003,0.0003,0.0078,2765,False
zhanghandong-makepad-skills,claudemarketplaces,plugins,L0,0.9988,0.0007,0.0014,0.0006,0.0004,2154,False
brownfinesecurity-iothackbot,claudemarketplaces,plugins,L2,0.9847,0.0036,0.0246,0.0112,0.1529,7590,False
team-attention-plugins-for-claude-natives,claudemarketplaces,plugins,L1,0.9980,0.0001,0.0001,0.0003,0.5036,8192,False
0xdesign-design-plugin,claudemarketplaces,plugins,L1,0.9925,0.0009,0.0010,0.0005,0.0100,5688,False
agent-sh-agentsys,claudemarketplaces,plugins,L1,0.9981,0.0003,0.0004,0.0005,0.0067,8192,False
jezweb-claude-skills,claudemarketplaces,plugins,L1,0.9988,0.0004,0.0006,0.0005,0.0203,8192,False
resciencelab-opc-skills,claudemarketplaces,plugins,L1,0.9990,0.0002,0.0001,0.0002,0.4156,8177,False
cyberkaida-reverse-engineering-assistant,claudemarketplaces,plugins,L1,0.9917,0.0001,0.0003,0.0005,0.0042,8192,False
ananddtyagi-cc-marketplace,claudemarketplaces,plugins,L2,0.9929,0.0017,0.0025,0.0040,0.7932,3799,False
francyjglisboa-agent-skill-creator,claudemarketplaces,plugins,L3,0.9963,0.0281,0.9964,0.0117,0.9191,8192,False
ccplugins-awesome-claude-code-plugins,claudemarketplaces,plugins,L1,0.9585,0.0003,0.0008,0.0008,0.0385,8192,False
hmans-beans,claudemarketplaces,plugins,L1,0.6120,0.0010,0.0010,0.0011,0.0014,7092,False
getsentry-sentry-mcp,claudemarketplaces,plugins,L1,0.7542,0.0002,0.0009,0.0014,0.0153,8192,False
onmax-nuxt-skills,claudemarketplaces,plugins,L1,0.9906,0.0003,0.0007,0.0009,0.0130,8192,False
