slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
gmickel-flow-next,claudemarketplaces,plugins,0.1017,0,4682,False
kalil0321-reverse-api-engineer,claudemarketplaces,plugins,0.9141,1,6000,False
laravel-agent-skills,claudemarketplaces,plugins,0.0000,0,2534,False
mhattingpete-claude-skills-marketplace,claudemarketplaces,plugins,0.0007,0,6000,False
kingbootoshi-cartographer,claudemarketplaces,plugins,0.0001,0,2178,False
fradser-dotclaude,claudemarketplaces,plugins,0.0004,0,3968,False
hashicorp-agent-skills,claudemarketplaces,plugins,0.0000,0,2131,False
zscole-adversarial-spec,claudemarketplaces,plugins,0.0000,0,6000,False
a5c-ai-babysitter,claudemarketplaces,plugins,0.0174,0,6000,False
getsentry-skills,claudemarketplaces,plugins,0.0000,0,6000,False
browserbase-skills,claudemarketplaces,plugins,0.0000,0,3634,False
jshchnz-claude-code-scheduler,claudemarketplaces,plugins,0.0113,0,6000,False
chujianyun-skills,claudemarketplaces,plugins,0.0012,0,4681,False
tokenrollai-llmdoc,claudemarketplaces,plugins,0.0000,0,6000,False
wondelai-skills,claudemarketplaces,plugins,0.0001,0,6000,False
chachamaru127-claude-code-harness,claudemarketplaces,plugins,0.9837,1,6000,False
aitytech-agentkits-marketing,claudemarketplaces,plugins,0.9475,1,6000,False
quant-sentiment-ai-claude-equity-research,claudemarketplaces,plugins,0.0008,0,6000,False
mutable-state-inc-ensue-skill,claudemarketplaces,plugins,0.0013,0,2451,False
nhevers-moltbrain,claudemarketplaces,plugins,0.9609,1,6000,False
speakeasy-api-speakeasy,claudemarketplaces,plugins,0.9970,1,6000,False
project-codeguard-rules,claudemarketplaces,plugins,0.0009,0,635,False
jfernandez-mdserve,claudemarketplaces,plugins,0.0006,0,5530,False
freee-freee-mcp,claudemarketplaces,plugins,0.0005,0,6000,False
cloudshipai-station,claudemarketplaces,plugins,0.0001,0,6000,False
humania-org-humanize,claudemarketplaces,plugins,0.0004,0,3268,False
piebald-ai-claude-code-lsps,claudemarketplaces,plugins,0.1962,0,6000,False
mintlify-docs,claudemarketplaces,plugins,0.0001,0,325,False
mckinsey-agents-at-scale-ark,claudemarketplaces,plugins,0.9933,1,5344,False
jarrodwatts-claude-stt,claudemarketplaces,plugins,0.0070,0,6000,False
