slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
userad-agentmail,claudemarketplaces,plugins,L1,0.6031,0.0016,0.0052,0.0039,0.0399,2048,False
ven0m0-claude-config,claudemarketplaces,plugins,L1,0.9459,0.0015,0.0092,0.0043,0.4589,2048,False
wonjiko-claude-toymarket,claudemarketplaces,plugins,L1,0.9348,0.0014,0.0038,0.0027,0.1957,1626,False
methuz-methuz-claude-marketplace,claudemarketplaces,plugins,L1,0.9131,0.0014,0.0038,0.0029,0.1689,2048,False
bfreis-claude-mart,claudemarketplaces,plugins,L0,0.5557,0.0014,0.0030,0.0017,0.0627,2048,False
schappim-ekctl-skill,claudemarketplaces,plugins,L1,0.9248,0.0014,0.0030,0.0022,0.1504,2048,False
maxamillion-claude-oss-eval-plugin,claudemarketplaces,plugins,L1,0.8732,0.0015,0.0028,0.0024,0.2090,2048,False
harmaalbers-claude-requirements-framework,claudemarketplaces,plugins,L1,0.7152,0.0021,0.0282,0.0121,0.3477,2048,False
moonklabs-aiwf,claudemarketplaces,plugins,L2,0.5353,0.0043,0.0602,0.0300,0.5357,2048,False
thomasrohde-marketplace,claudemarketplaces,plugins,L1,0.9673,0.0015,0.0025,0.0021,0.4565,64,False
pluginagentmarketplace-custom-plugin-terraform,claudemarketplaces,plugins,L1,0.8784,0.0016,0.0054,0.0036,0.0684,2048,False
zenml-io-skills,claudemarketplaces,plugins,L1,0.9280,0.0018,0.0180,0.0055,0.4677,2048,False
beneficial-ai-foundation-lean4-claude-plugin,claudemarketplaces,plugins,L1,0.9720,0.0015,0.0053,0.0026,0.7037,342,False
sentiolabs-arc,claudemarketplaces,plugins,L3,0.9805,0.0276,0.9447,0.0203,0.8808,2048,False
jongwony-cc-plugin,claudemarketplaces,plugins,L0,0.7425,0.0017,0.0051,0.0035,0.0182,2048,False
cercova-studios-terminal-agent-plugins,claudemarketplaces,plugins,L1,0.5459,0.0017,0.0027,0.0020,0.0779,49,False
spences10-ralph-town,claudemarketplaces,plugins,L2,0.6660,0.0041,0.0361,0.0322,0.1484,2048,False
dezkareid-claude-code-marketplace,claudemarketplaces,plugins,L1,0.9685,0.0018,0.0051,0.0039,0.8250,244,False
chaorenex1-coding-workflow,claudemarketplaces,plugins,L1,0.4564,0.0038,0.0443,0.0231,0.6230,2048,False
potenlab-marketplace-potenlab,claudemarketplaces,plugins,L1,0.8636,0.0018,0.0192,0.0073,0.2405,2048,False
atc-net-atc-agentic-toolkit,claudemarketplaces,plugins,L1,0.9183,0.0016,0.0066,0.0038,0.1396,2048,False
landonschropp-agent-toolkit,claudemarketplaces,plugins,L1,0.8771,0.0014,0.0023,0.0017,0.2808,828,False
johnlindquist-claude-plugins,claudemarketplaces,plugins,L1,0.9722,0.0011,0.0031,0.0020,0.6391,1123,False
earthmanweb-serena-workflow-engine,claudemarketplaces,plugins,L1,0.7674,0.0018,0.0203,0.0103,0.3064,2048,False
rasmusgodske-dev-agent-workflow,claudemarketplaces,plugins,L1,0.9459,0.0015,0.0046,0.0029,0.1461,2048,False
tylergibbs1-ospack,claudemarketplaces,plugins,L0,0.5119,0.0016,0.0054,0.0035,0.0377,2048,False
rahulsub-code-practices-plugin,claudemarketplaces,plugins,L1,0.7977,0.0014,0.0023,0.0016,0.1470,2048,False
caseyg-caseys-claude,claudemarketplaces,plugins,L1,0.9663,0.0015,0.0037,0.0030,0.5023,2048,False
kudosx-claude-skill-cloud-aws,claudemarketplaces,plugins,L1,0.5026,0.0019,0.0098,0.0080,0.0583,2048,False
anomalyarmor-agents,claudemarketplaces,plugins,L1,0.8531,0.0016,0.0045,0.0033,0.0852,2048,False
josephanson-claude-plugin,claudemarketplaces,plugins,L1,0.9404,0.0014,0.0029,0.0019,0.3770,981,False
mikev10-olympus,claudemarketplaces,plugins,L1,0.6588,0.0026,0.0468,0.0127,0.4120,2048,False
bl1nk-bot-agent-library,claudemarketplaces,plugins,L1,0.8898,0.0016,0.0059,0.0034,0.2256,2048,False
sttts-skills,claudemarketplaces,plugins,L1,0.9551,0.0013,0.0037,0.0027,0.1643,2048,False
chinlung-claude-dev-workflow,claudemarketplaces,plugins,L1,0.9657,0.0013,0.0070,0.0034,0.3311,2048,False
e-stpierre-agentic-forge,claudemarketplaces,plugins,L2,0.5982,0.0062,0.0776,0.0419,0.4412,2048,False
barnabasj-claude,claudemarketplaces,plugins,L1,0.9781,0.0012,0.0039,0.0029,0.4612,2048,False
steveleve-claude-marketplace,claudemarketplaces,plugins,L1,0.9690,0.0013,0.0056,0.0035,0.3718,2048,False
wellmaintained-skills,claudemarketplaces,plugins,L1,0.9114,0.0013,0.0034,0.0023,0.1452,2048,False
hugoduncan-claude-marketplace,claudemarketplaces,plugins,L1,0.9719,0.0011,0.0030,0.0021,0.4446,1176,False
llimllib-aver,claudemarketplaces,plugins,L1,0.4750,0.0032,0.0350,0.0188,0.4021,2048,False
ranger-testing-trailhead,claudemarketplaces,plugins,L1,0.9262,0.0018,0.0153,0.0046,0.1507,746,False
coxwave-claude-plugins,claudemarketplaces,plugins,L1,0.9738,0.0012,0.0030,0.0025,0.4059,1867,False
swapkats-robin,claudemarketplaces,plugins,L1,0.7627,0.0018,0.0062,0.0034,0.0748,2048,False
vivalalova-agent-ide,claudemarketplaces,plugins,L1,0.9545,0.0012,0.0049,0.0035,0.1671,2048,False
joshuaramirez-ms-ado-az-claude-code-plugin,claudemarketplaces,plugins,L1,0.8259,0.0013,0.0033,0.0019,0.0786,2048,False
pluginagentmarketplace-custom-plugin-backend,claudemarketplaces,plugins,L1,0.9007,0.0017,0.0057,0.0037,0.1137,2048,False
zc277584121-cc-tmux-worktree-orchestration,claudemarketplaces,plugins,L2,0.4805,0.0060,0.1374,0.0336,0.4589,2048,False
h4x3rotab-redpill-vault,claudemarketplaces,plugins,L1,0.6494,0.0022,0.0191,0.0112,0.1806,2043,False
dakesan-marimo-cc,claudemarketplaces,plugins,L1,0.9492,0.0013,0.0029,0.0020,0.3584,2048,False
ess-dive-essdive-mcp,claudemarketplaces,plugins,L1,0.7583,0.0015,0.0050,0.0034,0.0858,2048,False
alliance-genome-agr_claude_code,claudemarketplaces,plugins,L1,0.8413,0.0015,0.0087,0.0051,0.1452,2048,False
deepaktiwari09-dt-workspace-plugin,claudemarketplaces,plugins,L1,0.9447,0.0015,0.0056,0.0042,0.1943,2048,False
misfitdev-claude-plugins,claudemarketplaces,plugins,L1,0.9378,0.0015,0.0026,0.0019,0.2967,822,False
pluginagentmarketplace-custom-plugin-postgresql,claudemarketplaces,plugins,L1,0.8545,0.0016,0.0061,0.0040,0.0700,2048,False
masseater-claude-code-plugin,claudemarketplaces,plugins,L1,0.9088,0.0012,0.0048,0.0026,0.0865,444,False
resolve-io-.prism,claudemarketplaces,plugins,L0,0.9089,0.0024,0.0037,0.0026,0.0186,332,False
kubestellar-claude-plugins,claudemarketplaces,plugins,L1,0.9208,0.0012,0.0039,0.0021,0.2563,2048,False
contextgraph-claude-code-plugin,claudemarketplaces,plugins,L1,0.9517,0.0014,0.0039,0.0034,0.1597,2048,False
hundong2-my-friends-claude,claudemarketplaces,plugins,L1,0.8451,0.0015,0.0025,0.0019,0.1841,2048,False
muspelheim-claude-roaster,claudemarketplaces,plugins,L1,0.9512,0.0015,0.0074,0.0041,0.4576,2048,False
az9713-claude-canvas,claudemarketplaces,plugins,L1,0.7386,0.0018,0.0141,0.0081,0.1381,2048,False
seanedwards-ai-dotfiles,claudemarketplaces,plugins,L0,0.9625,0.0046,0.0053,0.0039,0.0142,64,False
datamaker-kr-synapse-claude-marketplace,claudemarketplaces,plugins,L1,0.9796,0.0013,0.0034,0.0028,0.3039,2048,False
bowentan-super-agent,claudemarketplaces,plugins,L1,0.9753,0.0013,0.0040,0.0026,0.6273,2048,False
xmgrex-ccx-arsenal,claudemarketplaces,plugins,L1,0.9147,0.0013,0.0035,0.0022,0.1382,2048,False
leonardocouy-cc-datadog,claudemarketplaces,plugins,L1,0.9146,0.0014,0.0031,0.0024,0.1054,2048,False
bherbruck-mcp-debugger,claudemarketplaces,plugins,L2,0.7356,0.0059,0.0575,0.0499,0.3675,2048,False
durandom-rhdh-skill,claudemarketplaces,plugins,L1,0.9376,0.0012,0.0073,0.0053,0.2064,2048,False
winwin-inc-claude-plugins,claudemarketplaces,plugins,L1,0.8447,0.0020,0.0110,0.0085,0.4618,2048,False
pluginagentmarketplace-custom-plugin-machine-learning,claudemarketplaces,plugins,L1,0.9184,0.0017,0.0058,0.0038,0.1185,2048,False
cn-dataworks-pbi-squire-plugin,claudemarketplaces,plugins,L2,0.4648,0.0031,0.0467,0.0229,0.4324,2048,False
seolcoding-claude-plugin-paper,claudemarketplaces,plugins,L1,0.8579,0.0014,0.0031,0.0022,0.1211,2048,False
mineru98-dev-consultant-skills,claudemarketplaces,plugins,L1,0.9249,0.0014,0.0073,0.0044,0.1471,2048,False
filipas123-claude-code-pkc-v1,claudemarketplaces,plugins,L1,0.8536,0.0035,0.0150,0.0073,0.0776,9,False
dutchthenomad-claude-flow,claudemarketplaces,plugins,L1,0.9014,0.0018,0.0147,0.0050,0.1663,2048,False
undoio-addons,claudemarketplaces,plugins,L1,0.8191,0.0016,0.0071,0.0049,0.0985,2048,False
tylergibbs1-breadcrumb,claudemarketplaces,plugins,L0,0.8579,0.0019,0.0043,0.0032,0.0166,2048,False
lineofflight-claude-code-plugins,claudemarketplaces,plugins,L1,0.9535,0.0013,0.0076,0.0042,0.2392,723,False
anexpn-claude-plugins,claudemarketplaces,plugins,L1,0.9610,0.0013,0.0046,0.0032,0.1575,1089,False
